Year,Activity from men,Activity from women,Activity from Collaborations
1947,1,,
1960,10,,
1961,5,,
1962,1,,
1965,1,,
1966,1,,
1967,2,,
1968,1,,
1969,1,,
1970,2,,
1972,1,,
1973,1,,
1974,3,,
1975,,1,
1976,1,,
1978,8,,1
1979,1,,
1980,2,,
1981,2,,1
1982,3,1,
1983,3,,
1984,4,,
1985,4,,
1986,2,,
1986,,3,
1987,1,,
1990,13,2,
1992,7,,2
1993,6,,1
1994,3,,1
1995,4,3,1
1996,7,,1
1997,10,,3
1998,4,2,1
1999,10,1,1
2000,1,1,
2001,5,1,
2002,1,,2
2003,3,1,2
2004,4,,
2005,6,,2
2006,7,,5
2007,6,1,3
2008,8,,
2009,5,1,1
2010,7,1,
2011,3,2,
2012,6,1,1
2013,6,1,
2014,6,1,1
2015,7,2,2
2016,2,,1
2017,2,1,
2018,3,,
2019,4,,2
