Year,Activity from men,Activity from women,Activity from Collaborations
1947,100,0,0
1960,1000,0,0
1961,500,0,0
1962,100,0,0
1965,100,0,0
1966,100,0,0
1967,200,0,0
1968,100,0,0
1969,100,0,0
1970,200,0,0
1972,100,0,0
1973,100,0,0
1974,300,0,0
1975,0,100,0
1976,100,0,0
1978,800,0,100
1979,100,0,0
1980,200,0,0
1981,200,0,100
1982,300,100,0
1983,300,0,0
1984,400,0,0
1985,400,0,0
1986,200,0,0
1986,0,300,0
1987,100,0,0
1990,1300,200,0
1992,700,0,200
1993,600,0,100
1994,300,0,100
1995,400,300,100
1996,700,0,100
1997,1000,0,300
1998,400,200,100
1999,1000,100,100
2000,100,100,0
2001,500,100,0
2002,100,0,200
2003,300,100,200
2004,400,0,0
2005,600,0,200
2006,700,0,500
2007,600,100,300
2008,800,0,0
2009,500,100,100
2010,700,100,0
2011,300,200,0
2012,600,100,100
2013,600,100,0
2014,600,100,100
2015,700,200,200
2016,200,0,100
2017,200,100,0
2018,300,0,0
2019,400,0,200
