Activities,Author,Date,Gender
100,Albert-Marie Schmidt,1960,Male
100,André Blavier,1961,Male
200,Anne F. Garréta,2000,Female
300,Bernard Cerquiglini,1995,Male
400,Claude Berge,1960,Male
100,Clémentine Mélois,2017,Female
300,Daniel Levin Becker,2009,Male
500,Eduardo Berti,2014,Male
200,Etienne Lécroart,2013,Male
1000,François Caradec,1983,Male
200,François Le Lionnais,1960,Male
800,Frédéric Forte,2005,Male
500,Georges Perec,1967,Male
800,Harry Mathews,1973,Male
800,Hervé Le Tellier,1992,Male
100,Hugo Vernier,2012,Male
800,Ian Monk,1998,Male
400,Italo Calvino,1974,Male
800,Jacques Bens,1960,Male
400,Jacques Duchateau,1960,Male
3000,Jacques Jouet,1983,Male
2500,Jacques Roubaud,1966,Male
200,Jean Lescure,1960,Male
400,Jean Queval,1960,Male
100,Latis,1960,Male
200,Luc Etienne,1970,Male
1600,Marcel Bénabou,1970,Male
100,Marcel Duchamp,1962,Male
600,Michèle Audin,2009,Female
700,Michèle Métail,1975,Female
900,Michelle Grangaud,1995,Female
500,Noel Arnaud,1968,Male
1000,Olivier Salon,2000,Male
200,Oskar Pastior,1992,Male
5400,OuLiPo/Collaboration,1978,None
100,Pablo Martín Sánchez,2014,Male
800,Paul Braffort,1961,Male
1400,Paul Fournel,1972,Male
200,Pierre Rosenstiehl,1992,Male
400,Raymond Queneau,1947,Male
100,Ross Chambers,1961,Male
100,Stanley Chapman,1961,Male
300,Valérie Beaudouin,2015,Female
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,Male
